crossing_id,traveler_id,port_id,direction,crossing_time
1,1,2,IN,2025-01-05 08:30:00
2,1,2,OUT,2025-06-28 14:15:00
3,2,1,IN,2025-02-20 22:45:00
4,3,4,IN,2025-03-10 11:00:00
5,4,3,IN,2025-04-12 06:20:00
6,4,3,OUT,2025-04-18 19:30:00
7,5,5,IN,2024-01-10 09:00:00
8,5,5,OUT,2024-12-20 16:00:00
9,6,2,IN,2025-01-20 14:00:00
10,7,14,IN,2025-05-05 10:30:00
11,8,7,IN,2025-03-15 18:45:00
12,9,6,IN,2025-02-05 07:00:00
13,9,6,OUT,2025-02-28 20:00:00
14,10,3,IN,2025-04-08 13:15:00
15,11,2,IN,2025-06-05 09:00:00
16,12,1,IN,2025-03-18 22:00:00
17,13,4,IN,2025-01-25 15:30:00
18,14,5,IN,2025-05-12 11:00:00
19,15,9,IN,2025-02-15 08:15:00
20,16,2,IN,2024-06-10 14:00:00
21,16,2,OUT,2024-11-30 09:30:00
22,17,3,IN,2025-01-10 12:00:00
23,18,1,IN,2025-07-02 05:45:00
24,19,6,IN,2025-03-22 16:20:00
25,20,4,IN,2025-08-05 10:00:00
26,21,14,IN,2025-04-03 13:30:00
27,22,7,IN,2025-02-05 09:15:00
28,23,5,IN,2025-01-05 18:00:00
29,24,3,IN,2025-05-18 07:45:00
30,25,2,IN,2025-03-05 14:30:00
31,26,1,IN,2025-06-12 22:15:00
32,27,4,IN,2025-04-22 11:45:00
33,28,6,IN,2024-05-10 08:00:00
34,28,6,OUT,2024-09-25 17:00:00
35,29,8,IN,2025-02-25 12:30:00
36,30,9,IN,2025-07-07 09:00:00
37,31,3,IN,2025-05-05 15:15:00
38,32,5,IN,2025-09-10 13:00:00
39,33,2,IN,2025-01-15 10:30:00
40,34,1,IN,2025-06-18 07:00:00
41,35,4,IN,2025-03-05 16:45:00
42,36,7,IN,2025-04-05 14:00:00
43,37,6,IN,2025-02-08 11:15:00
44,38,8,IN,2025-05-22 09:30:00
45,39,9,IN,2025-03-10 18:00:00
46,40,3,IN,2025-08-03 08:45:00
